key_resp_17.keys,key_resp_17.rt,key_resp_13.keys,key_resp_13.rt,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_5.ran,Text,Condition,participant,Gender*,Age*,Estimated hours since last sleep*,date,expName,psychopyVersion,OS,frameRate,fbclid,key_resp_2.keys,key_resp_2.rt,key_resp_11.keys,key_resp_11.rt,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_6.ran,Word,key_resp_3.keys,key_resp_3.rt,key_resp_9.keys,key_resp_9.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Stimuli,keyrespp.keys,keyrespp.rt,key_resp_4.keys,key_resp_4.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Response,Congr,RightAns,key_resp_8.keys,key_resp_8.rt,key_resp_10.keys,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,key_resp_10.rt,key_resp_14.keys,key_resp_14.rt,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_7.ran,key_resp_5.keys,key_resp_5.rt,key_resp_12.keys,key_resp_12.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,key_resp_6.keys,key_resp_6.rt,key_resp_15.keys,key_resp_15.rt,socialexc.thisRepN,socialexc.thisTrialN,socialexc.thisN,socialexc.thisIndex,socialexc.ran,Question,key_resp_7.keys,key_resp_7.rt,key_resp_16.keys,key_resp_16.rt
y,28.429,space,11.802,0,0,0,0,1,"Please complete all tasks. It will take no more than 5-10 minutes.

Thank you for contributing to science and deciding to offer your time. Your participation is highly valued. 

Press SPACE to start the experiment",1,Hannibal,man,32,10-12h,2021-12-04_20h31.09.158,bachelor,2021.2.3,MacIntel,58.82352941,IwAR3y99_qi9ZkahrWl2gxbFf1IxdizgmXWHn01GjRv4YStcN-ylfQ7-olS5w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Hannibal,man,32,10-12h,2021-12-04_20h31.09.158,bachelor,2021.2.3,MacIntel,58.82352941,IwAR3y99_qi9ZkahrWl2gxbFf1IxdizgmXWHn01GjRv4YStcN-ylfQ7-olS5w,space,23.982,right,10.644,0,0,0,1,1,ricochet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Hannibal,man,32,10-12h,2021-12-04_20h31.09.158,bachelor,2021.2.3,MacIntel,58.82352941,IwAR3y99_qi9ZkahrWl2gxbFf1IxdizgmXWHn01GjRv4YStcN-ylfQ7-olS5w,,,left,7.263,0,1,1,10,1,church,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Hannibal,man,32,10-12h,2021-12-04_20h31.09.158,bachelor,2021.2.3,MacIntel,58.82352941,IwAR3y99_qi9ZkahrWl2gxbFf1IxdizgmXWHn01GjRv4YStcN-ylfQ7-olS5w,,,left,4.016,0,2,2,24,1,lip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Hannibal,man,32,10-12h,2021-12-04_20h31.09.158,bachelor,2021.2.3,MacIntel,58.82352941,IwAR3y99_qi9ZkahrWl2gxbFf1IxdizgmXWHn01GjRv4YStcN-ylfQ7-olS5w,,,right,3.846,0,3,3,23,1,fee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Hannibal,man,32,10-12h,2021-12-04_20h31.09.158,bachelor,2021.2.3,MacIntel,58.82352941,IwAR3y99_qi9ZkahrWl2gxbFf1IxdizgmXWHn01GjRv4YStcN-ylfQ7-olS5w,,,right,2.148,0,4,4,0,1,drank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Hannibal,man,32,10-12h,2021-12-04_20h31.09.158,bachelor,2021.2.3,MacIntel,58.82352941,IwAR3y99_qi9ZkahrWl2gxbFf1IxdizgmXWHn01GjRv4YStcN-ylfQ7-olS5w,,,left,2.161,0,5,5,19,1,wonder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Hannibal,man,32,10-12h,2021-12-04_20h31.09.158,bachelor,2021.2.3,MacIntel,58.82352941,IwAR3y99_qi9ZkahrWl2gxbFf1IxdizgmXWHn01GjRv4YStcN-ylfQ7-olS5w,,,right,3.837,0,6,6,21,1,ambulance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Hannibal,man,32,10-12h,2021-12-04_20h31.09.158,bachelor,2021.2.3,MacIntel,58.82352941,IwAR3y99_qi9ZkahrWl2gxbFf1IxdizgmXWHn01GjRv4YStcN-ylfQ7-olS5w,,,left,1.748,0,7,7,20,1,journalist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Hannibal,man,32,10-12h,2021-12-04_20h31.09.158,bachelor,2021.2.3,MacIntel,58.82352941,IwAR3y99_qi9ZkahrWl2gxbFf1IxdizgmXWHn01GjRv4YStcN-ylfQ7-olS5w,,,right,2.481,0,8,8,9,1,hot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
