key_resp_17.keys,key_resp_17.rt,key_resp_13.keys,key_resp_13.rt,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_5.ran,Text,Condition,participant,Gender*,Age*,Estimated hours since last sleep*,date,expName,psychopyVersion,OS,frameRate,fbclid,key_resp_2.keys,key_resp_2.rt,key_resp_11.keys,key_resp_11.rt,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_6.ran,Word,key_resp_3.keys,key_resp_3.rt,key_resp_9.keys,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Stimuli,key_resp_9.rt,keyrespp.keys,keyrespp.rt,key_resp_4.keys,key_resp_4.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Response,Congr,RightAns,key_resp_8.keys,key_resp_8.rt,key_resp_10.keys,key_resp_10.rt,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,key_resp_14.keys,key_resp_14.rt,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_7.ran,key_resp_5.keys,key_resp_5.rt,key_resp_12.keys,key_resp_12.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,key_resp_6.keys,key_resp_6.rt,key_resp_15.keys,key_resp_15.rt,socialexc.thisRepN,socialexc.thisTrialN,socialexc.thisN,socialexc.thisIndex,socialexc.ran,Question,key_resp_7.keys,key_resp_7.rt,key_resp_16.keys,key_resp_16.rt
y,10.0898,space,4.4727,0,0,0,0,1,"
Please complete all tasks. It will take no more than 5-10 minutes.

Press any key to start the experiment",0,,woman,18,10-12h,2021-12-01_17h10.38.417,bachelor,2021.2.3,Win32,59.96641881,IwAR30-zn7PZY6bv_IRc0y2CLUXBFjvoh0_DFK33PzhVQ74YXmRt2v1VZloQE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,18,10-12h,2021-12-01_17h10.38.417,bachelor,2021.2.3,Win32,59.96641881,IwAR30-zn7PZY6bv_IRc0y2CLUXBFjvoh0_DFK33PzhVQ74YXmRt2v1VZloQE,space,13.5837,left,1.0967,0,0,0,5,1,cold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,18,10-12h,2021-12-01_17h10.38.417,bachelor,2021.2.3,Win32,59.96641881,IwAR30-zn7PZY6bv_IRc0y2CLUXBFjvoh0_DFK33PzhVQ74YXmRt2v1VZloQE,,,right,1.0673,0,1,1,16,1,gunshot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,18,10-12h,2021-12-01_17h10.38.417,bachelor,2021.2.3,Win32,59.96641881,IwAR30-zn7PZY6bv_IRc0y2CLUXBFjvoh0_DFK33PzhVQ74YXmRt2v1VZloQE,,,left,1.3848,0,2,2,18,1,screech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,18,10-12h,2021-12-01_17h10.38.417,bachelor,2021.2.3,Win32,59.96641881,IwAR30-zn7PZY6bv_IRc0y2CLUXBFjvoh0_DFK33PzhVQ74YXmRt2v1VZloQE,,,right,1.208,0,3,3,20,1,journalist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,18,10-12h,2021-12-01_17h10.38.417,bachelor,2021.2.3,Win32,59.96641881,IwAR30-zn7PZY6bv_IRc0y2CLUXBFjvoh0_DFK33PzhVQ74YXmRt2v1VZloQE,,,left,2.0347,0,4,4,4,1,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,18,10-12h,2021-12-01_17h10.38.417,bachelor,2021.2.3,Win32,59.96641881,IwAR30-zn7PZY6bv_IRc0y2CLUXBFjvoh0_DFK33PzhVQ74YXmRt2v1VZloQE,,,right,2.2076,0,5,5,2,1,home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,18,10-12h,2021-12-01_17h10.38.417,bachelor,2021.2.3,Win32,59.96641881,IwAR30-zn7PZY6bv_IRc0y2CLUXBFjvoh0_DFK33PzhVQ74YXmRt2v1VZloQE,,,left,1.2528,0,6,6,12,1,forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,18,10-12h,2021-12-01_17h10.38.417,bachelor,2021.2.3,Win32,59.96641881,IwAR30-zn7PZY6bv_IRc0y2CLUXBFjvoh0_DFK33PzhVQ74YXmRt2v1VZloQE,,,right,1.0073,0,7,7,7,1,cough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,18,10-12h,2021-12-01_17h10.38.417,bachelor,2021.2.3,Win32,59.96641881,IwAR30-zn7PZY6bv_IRc0y2CLUXBFjvoh0_DFK33PzhVQ74YXmRt2v1VZloQE,,,left,1.2668,0,8,8,22,1,woman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,18,10-12h,2021-12-01_17h10.38.417,bachelor,2021.2.3,Win32,59.96641881,IwAR30-zn7PZY6bv_IRc0y2CLUXBFjvoh0_DFK33PzhVQ74YXmRt2v1VZloQE,,,left,1.5336,0,9,9,19,1,wonder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,18,10-12h,2021-12-01_17h10.38.417,bachelor,2021.2.3,Win32,59.96641881,IwAR30-zn7PZY6bv_IRc0y2CLUXBFjvoh0_DFK33PzhVQ74YXmRt2v1VZloQE,,,right,1.7771,0,10,10,1,1,ricochet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,18,10-12h,2021-12-01_17h10.38.417,bachelor,2021.2.3,Win32,59.96641881,IwAR30-zn7PZY6bv_IRc0y2CLUXBFjvoh0_DFK33PzhVQ74YXmRt2v1VZloQE,,,left,1.5342,0,11,11,10,1,church,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,18,10-12h,2021-12-01_17h10.38.417,bachelor,2021.2.3,Win32,59.96641881,IwAR30-zn7PZY6bv_IRc0y2CLUXBFjvoh0_DFK33PzhVQ74YXmRt2v1VZloQE,,,left,1.0036,0,12,12,15,1,minister,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,18,10-12h,2021-12-01_17h10.38.417,bachelor,2021.2.3,Win32,59.96641881,IwAR30-zn7PZY6bv_IRc0y2CLUXBFjvoh0_DFK33PzhVQ74YXmRt2v1VZloQE,,,left,0.9504,0,13,13,3,1,foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,18,10-12h,2021-12-01_17h10.38.417,bachelor,2021.2.3,Win32,59.96641881,IwAR30-zn7PZY6bv_IRc0y2CLUXBFjvoh0_DFK33PzhVQ74YXmRt2v1VZloQE,,,left,2.6378,0,14,14,11,1,gasp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,18,10-12h,2021-12-01_17h10.38.417,bachelor,2021.2.3,Win32,59.96641881,IwAR30-zn7PZY6bv_IRc0y2CLUXBFjvoh0_DFK33PzhVQ74YXmRt2v1VZloQE,,,right,1.7175,0,15,15,14,1,tourist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,18,10-12h,2021-12-01_17h10.38.417,bachelor,2021.2.3,Win32,59.96641881,IwAR30-zn7PZY6bv_IRc0y2CLUXBFjvoh0_DFK33PzhVQ74YXmRt2v1VZloQE,,,left,1.3439,0,16,16,13,1,belch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,18,10-12h,2021-12-01_17h10.38.417,bachelor,2021.2.3,Win32,59.96641881,IwAR30-zn7PZY6bv_IRc0y2CLUXBFjvoh0_DFK33PzhVQ74YXmRt2v1VZloQE,,,right,1.3425,0,17,17,26,1,eye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,18,10-12h,2021-12-01_17h10.38.417,bachelor,2021.2.3,Win32,59.96641881,IwAR30-zn7PZY6bv_IRc0y2CLUXBFjvoh0_DFK33PzhVQ74YXmRt2v1VZloQE,,,right,1.1334,0,18,18,23,1,fee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,18,10-12h,2021-12-01_17h10.38.417,bachelor,2021.2.3,Win32,59.96641881,IwAR30-zn7PZY6bv_IRc0y2CLUXBFjvoh0_DFK33PzhVQ74YXmRt2v1VZloQE,,,left,2.1441,0,19,19,0,1,drank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
